iter	Passed	Remaining
0	59	11833
1	105	10472
2	151	9953
3	198	9729
4	247	9641
5	292	9470
6	344	9512
7	397	9539
8	449	9548
9	495	9405
10	540	9292
11	584	9149
12	630	9072
13	675	8968
14	719	8869
15	763	8777
16	807	8692
17	852	8616
18	897	8550
19	942	8480
20	986	8408
21	1036	8382
22	1086	8362
23	1135	8325
24	1184	8290
25	1231	8238
26	1284	8231
27	1331	8177
28	1376	8118
29	1424	8073
30	1478	8061
31	1533	8050
32	1583	8014
33	1629	7953
34	1675	7896
35	1721	7841
36	1764	7772
37	1806	7702
38	1854	7656
39	1900	7603
40	1943	7535
41	1984	7466
42	2030	7414
43	2079	7371
44	2123	7314
45	2166	7252
46	2215	7211
47	2261	7162
48	2306	7108
49	2349	7048
50	2394	6995
51	2439	6944
52	2484	6890
53	2529	6838
54	2580	6802
55	2627	6756
56	2676	6715
57	2726	6674
58	2770	6621
59	2817	6574
60	2862	6522
61	2905	6467
62	2952	6420
63	2997	6368
64	3042	6318
65	3086	6266
66	3131	6216
67	3181	6176
68	3227	6128
69	3275	6082
70	3329	6049
71	3375	6000
72	3430	5968
73	3478	5923
74	3530	5883
75	3581	5842
76	3634	5806
77	3710	5803
78	3778	5787
79	3831	5746
80	3884	5707
81	3929	5655
82	3997	5634
83	4058	5604
84	4117	5570
85	4170	5528
86	4219	5480
87	4268	5432
88	4322	5391
89	4371	5342
90	4439	5317
91	4494	5275
92	4551	5237
93	4601	5188
94	4646	5135
95	4690	5081
96	4738	5031
97	4783	4978
98	4838	4936
99	4888	4888
100	4932	4835
101	4977	4782
102	5023	4731
103	5068	4678
104	5113	4626
105	5156	4572
106	5203	4522
107	5250	4472
108	5302	4426
109	5346	4374
110	5389	4321
111	5438	4272
112	5484	4222
113	5530	4172
114	5573	4119
115	5619	4069
116	5665	4019
117	5709	3967
118	5753	3916
119	5807	3871
120	5878	3837
121	5936	3795
122	5987	3748
123	6034	3698
124	6084	3650
125	6129	3599
126	6174	3549
127	6223	3500
128	6277	3455
129	6326	3406
130	6371	3355
131	6419	3306
132	6466	3257
133	6519	3210
134	6564	3160
135	6609	3110
136	6655	3060
137	6702	3011
138	6748	2961
139	6793	2911
140	6850	2866
141	6892	2815
142	6939	2766
143	6989	2717
144	7032	2667
145	7075	2616
146	7120	2567
147	7165	2517
148	7207	2467
149	7251	2417
150	7299	2368
151	7342	2318
152	7386	2269
153	7430	2219
154	7474	2170
155	7516	2120
156	7560	2070
157	7606	2022
158	7651	1972
159	7700	1925
160	7751	1877
161	7802	1830
162	7850	1782
163	7905	1735
164	7958	1688
165	8007	1640
166	8065	1593
167	8116	1545
168	8167	1498
169	8214	1449
170	8261	1401
171	8310	1352
172	8357	1304
173	8408	1256
174	8454	1207
175	8502	1159
176	8551	1111
177	8605	1063
178	8653	1015
179	8704	967
180	8756	919
181	8805	870
182	8852	822
183	8907	774
184	8960	726
185	9009	678
186	9062	630
187	9122	582
188	9172	533
189	9231	485
190	9290	437
191	9344	389
192	9394	340
193	9451	292
194	9500	243
195	9543	194
196	9587	146
197	9630	97
198	9679	48
199	9723	0
